File Name: not saved
Channel 1: 'K25585', 39661 values, raw ADC, no filters.
Channel 2: 'W110 K27098 X axis', 39660 values, raw ADC, no filters.

5	0
3	2
6	2
3	0
-1	2
-7	0
-12	0
-16	2
-17	0
-21	0
-16	2
-20	0
-30	0
-16	0
-18	2
0	2
22	2
43	2
58	0
56	0
43	0
22	2
16	0
9	2
-3	2
-10	2
-12	4
-17	4
-18	4
-20	4
-8	4
-8	2
-12	2
8	2
5	4
3	4
-5	4
-10	4
-7	4
-5	2
1	2
7	2
11	4
5	2
0	4
0	2
-3	4
-8	2
-14	2
-24	2
-25	2
-24	2
-17	4
7	4
10	6
17	6
20	6
19	4
24	6
19	4
14	6
6	4
2	4
-4	4
-1	4
-2	4
-2	4
-3	4
-2	6
-1	6
8	4
8	4
-1	6
7	6
-8	8
-20	6
-27	6
-37	6
-43	6
-44	6
-38	8
-23	8
8	8
39	10
62	10
70	10
65	10
47	10
24	10
-3	10
-11	10
-22	10
-26	10
-3	10
-2	12
15	10
29	10
32	10
30	10
12	12
-4	10
-19	10
-26	10
-31	10
-23	10
-21	12
-13	12
-12	12
-17	10
-25	12
-21	14
-17	14
-15	14
9	16
12	18
22	16
27	14
24	14
21	14
12	14
8	14
-2	16
-7	16
-17	14
-19	16
-22	18
-24	17
-25	18
-27	17
-35	17
-24	18
-20	18
-15	19
11	20
11	20
21	20
23	20
15	20
7	19
-9	19
-17	20
-16	21
-9	22
2	23
16	23
15	22
15	22
26	21
42	20
55	21
77	22
76	23
52	24
38	23
1	26
-20	25
-32	24
-39	25
-31	26
-28	26
-23	24
-23	26
-13	26
-11	25
-7	25
-5	26
-1	26
-1	26
-3	27
-10	28
-5	32
-10	30
-14	29
6	30
-2	29
-1	28
-3	27
-8	27
-5	29
-7	31
-7	32
-8	29
-5	30
-7	31
-6	31
-6	30
-3	30
-3	29
-3	32
-6	32
0	33
-4	31
-10	32
8	32
3	35
5	33
7	35
6	36
7	35
4	35
6	36
3	35
5	33
3	34
0	33
-5	34
-7	34
-6	32
-1	34
-1	34
-1	34
-1	35
-1	35
4	36
8	36
8	36
9	36
7	36
5	36
1	36
-2	36
-3	36
-5	36
-6	35
-8	35
-7	36
-6	37
-4	38
-2	39
-3	37
7	38
8	38
4	37
15	37
-1	39
-5	37
-8	38
-13	38
-12	39
-8	38
-2	39
-4	38
-7	37
-13	37
-13	37
-16	38
-8	38
9	38
27	37
39	36
54	38
57	37
45	37
51	37
32	39
16	39
-3	40
-19	39
-25	38
-36	39
-39	39
-43	37
-47	36
-49	35
-44	35
-39	36
-30	37
-15	36
-15	35
-24	37
-12	36
-13	35
-15	35
10	35
15	37
32	36
41	35
50	37
57	35
57	35
57	35
42	36
32	37
23	37
14	38
3	37
-6	35
-6	33
-10	34
-29	34
-28	34
-28	32
-33	33
-13	34
-20	35
-17	34
-18	33
-24	35
-21	34
-22	31
-21	32
-35	32
-45	34
-36	35
0	32
40	34
72	35
84	34
67	33
27	33
3	35
-7	35
-9	35
10	37
10	38
15	36
8	34
0	33
-11	34
-22	32
-30	34
-39	35
-36	34
-37	35
-32	34
-34	36
-33	35
-33	35
-36	34
-51	34
-46	34
-38	35
-21	33
37	35
72	35
104	36
121	37
107	36
77	38
38	38
14	39
-1	39
-4	39
-11	37
-6	36
-6	37
-11	36
-8	37
-8	35
-20	36
-26	37
-35	39
-30	39
8	39
24	41
30	39
18	38
-10	37
-45	38
-71	40
-73	40
-63	41
-35	40
-3	40
23	41
29	40
16	41
1	41
1	45
6	45
15	43
21	45
22	45
37	45
33	45
40	43
41	43
33	45
31	45
26	45
20	45
12	45
13	45
4	47
-7	47
-23	45
-37	45
-51	47
-48	47
-45	47
-33	47
-31	47
-31	49
-13	47
-17	51
-10	51
-3	51
10	51
25	51
33	51
37	51
40	51
41	51
30	53
16	49
-12	51
-41	53
-63	51
-73	53
-68	53
-47	53
-36	53
-18	55
13	53
5	57
-3	55
